id,highlights,masked_highlights
15614276,Effect of diabetes and hypertension on obesity-related mortality.,<mask> of <mask> and hypertension on obesity-related mortality.
15615959,Intragastric band erosion after laparoscopic adjustable gastric banding for morbid obesity: imaging characteristics of an underreported complication.,Intragastric <mask> erosion after <mask> <mask> gastric banding <mask> morbid obesity: imaging characteristics <mask> an underreported complication.
15616067,Atenolol administration via a nasogastric tube after abdominal surgery: an unreliable route.,Atenolol administration via a nasogastric tube <mask> <mask> surgery: <mask> unreliable route.
15616945,Complications of laparoscopic surgery in neonates and small infants.,<mask> <mask> laparoscopic surgery in neonates and <mask> infants.
15618801,Double epidural catheter with ropivacaine versus intravenous morphine: a comparison for postoperative analgesia after scoliosis correction surgery.,Double epidur<mask>l <mask> with ropivacaine versus intravenous morphine: a comparison <mask> <mask> <mask> after scoliosis correction surgery.
15619108,Differential effects of topiramate in patients with traumatic brain injury and obesity--a case series.,Differential <mask> of <mask> in <mask> with traumatic brain injury and obesity--a <mask> series.
15619502,Internal hernias after laparoscopic Roux-en-Y gastric bypass.,<mask> hernias after laparoscopic Roux-en-Y <mask> bypass.
15621817,Body cavity-based presentation of natural killer cell lymphoma.,Body <mask> presentation <mask> natural killer cell lymphoma.
15625689,Swallowing abnormalities and dyskinesia in Parkinson's disease.,<mask> abnormalities and <mask> in Parkinson's disease.
15632762,Aspiration assessment and prevention in critically ill enterally fed patients: evidence-based recommendations for practice.,Aspiration assessment and prevention in critically <mask> enterally <mask> patients: <mask> <mask> for practice.
15638238,Management of refractory fistulizing pouchitis with infliximab.,Management of refractory fistulizing <mask> <mask> infliximab.
15641138,A non-invasive method for gastrointestinal parameter monitoring.,A non-invasive method for <mask> <mask> monitoring.
15642075,Efficacy and safety comparative evaluation of orlistat and sibutramine treatment in hypertensive obese patients.,<mask> and safety comparative evaluation <mask> orlistat and sibutramine <mask> in <mask> obese patients.
15643480,Pain patterns in Italian patients with osteoarthritis: preliminary results of the MI.D.A. Study (Misurazione del Dolore nell'Artrosi).,<mask> <mask> <mask> Italian patients with <mask> preliminary results of the MI.D.A. <mask> (Misurazione del Dolore nell'Artrosi).
15646404,Clinical events occurrence and the changes of quality of life in chronic haemodialysis patients with dry weight determined by echocardiographic method.,Clinical events <mask> and the changes of quality of life in <mask> <mask> patients with dry <mask> determined <mask> echocardiographic method.
15657719,"Upper gastrointestinal bleeding after long term, high dose NSAID medication: a wolf in sheep's clothing?.","<mask> gastrointestinal bleeding after <mask> term, <mask> dose <mask> medication: a wolf in sheep's clothing?."
15657864,Duodenal obstruction by gallstones (Bouveret's syndrome): a review of the literature.,<mask> obstruction by gallstones (Bouveret's syndrome): a <mask> <mask> the literature.
15659872,Gastrointestinal stromal tumour of the colon presenting with intestinal obstruction.,<mask> stromal <mask> of the colon <mask> with intestinal obstruction.
15662714,"Identification of Muir-Torre syndrome among patients with sebaceous tumors and keratoacanthomas: role of clinical features, microsatellite instability, and immunohistochemistry.","Identification of <mask> <mask> among patients with sebaceous tumors and keratoacanthomas: <mask> of clinical features, microsatellite <mask> and immunohistochemistry."
15663103,"The onset of physiological activity in the stomach in the postoperative period. A comparative study with a prokinetic preparation, Ganaton.",The onset <mask> physiological activity in <mask> stomach in <mask> postoperative <mask> A comparative study <mask> a prokinetic <mask> Ganaton.
15665961,Structural and functional changes in gastric epithelium in Helicobacter pylori-associated chronic gastroduodenal pathologies.,<mask> and functional changes <mask> <mask> <mask> <mask> Helicobacter pylori-associated chronic gastroduodenal pathologies.
15667504,A randomized study of early nasogastric versus nasojejunal feeding in severe acute pancreatitis.,A randomized <mask> of early nasogastric <mask> <mask> feeding in <mask> acute pancreatitis.
15668286,Phase II study of troxacitabine in chemotherapy-naive patients with advanced cancer of the pancreas: gastrointestinal tumors.,<mask> II study of troxacitab<mask>e in chemotherapy-naive patients <mask> <mask> cancer of the pancreas: gastrointestinal tumors.
15672059,A prospective study of factors that determine cecal intubation time at colonoscopy.,A <mask> study of factors <mask> determine cecal intubation <mask> at colonoscopy.
15672061,Complete small-bowel transit in patients undergoing capsule endoscopy: determining factors and improvement with metoclopramide.,Complete small-bowel <mask> in patients undergoing capsule endoscopy: <mask> factors <mask> improvement <mask> metoclopramide.
1567717,Lower digestive hemorrhage. Its etiology and the diagnostic efficacy of different explorations. A study of 2646 patients.,Lower <mask> hemorrhage. Its etiology and <mask> <mask> efficacy of <mask> explorations. A study of <mask> patients.
15681099,The administration of an oral carbohydrate-containing fluid prior to major elective upper-gastrointestinal surgery preserves skeletal muscle mass postoperatively--a randomised clinical trial.,The administration <mask> an oral <mask> <mask> prior to major elective <mask> surgery <mask> skeletal muscle mass postoperatively--a <mask> clinical trial.
15681939,"Recombinant coagulation factor VIIa in major liver resection: a randomized, placebo-controlled, double-blind clinical trial.","Recombinant coagulation factor <mask> in major liver <mask> a randomized, <mask> double-blind <mask> trial."
15682856,Gastrointestinal stromal tumor of the stomach mimicking adrenal tumor: a case report.,Gastrointestinal <mask> tumor of the <mask> mimicking adrenal tumor: a <mask> report.
1568653,Colonoscopic study of 50 patients with colonic tuberculosis.,Colonoscopic study of <mask> patients <mask> colonic tuberculosis.
15687757,Difference in time of bowel sounds and passing of gas in abdominal hysterectomy patients having San-Yin-Jia (SP-6) acupressure.,<mask> in time of bowel sounds <mask> passing of gas in <mask> hysterectomy <mask> having San-Yin-Jia (SP-6) acupressure.
15691315,Gastroduodenal lesions and Helicobacter pylori infection in dyspeptic patients with and without chronic renal failure.,<mask> lesions and Helicobacter pylori infection in dyspeptic <mask> <mask> and <mask> chronic renal failure.
15692935,Temporary intestinal occlusion induced by a  patency capsule  in a patient with Crohn's disease.,<mask> <mask> occlusion induced by a  patency <mask>  in a <mask> with Crohn's disease.
15700634,"A 52 year-old woman with fever, cough and dyspnoea.","A 52 <mask> <mask> with fever, <mask> and dyspnoea."
15700656,Differential diagnosis of intra- and perilienal tumors by use of a RES-specific MRI contrast agent.,Differential diagnosis of intra- and <mask> tumors <mask> use of a <mask> MRI <mask> agent.
15702149,Appendiceal mucinous cystadenoma.,Appendiceal <mask> cystadenoma.
15702515,Intranasal absorption of rizatriptan--in vivo pharmacokinetics and bioavailability study in humans.,Intranasal absorption of rizatriptan--<mask> vivo pharmacokinetics <mask> <mask> study in humans.
15708062,Gastrointestinal stromal tumor of the prostate.,Gastrointestinal stromal <mask> of <mask> prostate.
15709215,"Phase II study of 5-fluorouracil, doxorubicin, and mitomycin C for metastatic small bowel adenocarcinoma.","Phase II study of 5-fluorouracil, <mask> and mitomycin C <mask> <mask> <mask> bowel adenocarcinoma."
15709993,Grown-up coeliac children: the effects of only a few years on a gluten-free diet in childhood.,Grown-up coeli<m<mask>sk>c children: the effects of <mask>ly a few <mask> on a gluten-free diet <mask> childhood.
15710981,Impaired reflex control of intestinal gas transit in patients with abdominal bloating.,Impaired reflex control of <mask> gas transit in patients <mask> <mask> bloating.
15711666,Gastrointestinal lesions and Helicobacter pylori in patients with myeloproliferative disorders.,Gastro<mask>testinal <mask> and <mask> pylori in patients with myeloproliferative disorders.
15711985,Missed diagnosis in hematological patients-an autopsy study.,Missed <mask> in <mask> patients-an autopsy study.
15714152,Laparoscopic removal of gastric band after early gastric erosion: case report and review of the literature.,<mask> removal <mask> gastric band after early gastric erosion: case <mask> and review <mask> <mask> literature.
15714294,Role of pelvicography and colpocystodefecography in diagnosis of outlet obstructive constipation.,Role of pelvicography <mask> <mask> <mask> diagnosis of outlet obstructive constipation.
15716650,Ultrasonography and three-dimensional methods of the upper gastrointestinal tract.,Ultrasonography <mask> three-dimensional methods <mask> the upper <mask> tract.
15717249,Postalimentary hypoglycaemia in post-gastrectomy late dumping syndrome.,Postalimentary hypoglycaemia <mask> post-gastrectomy <mask> dumping syndrome.
15723736,"Comparison between handgrip strength, subjective global assessment, and prognostic nutritional index in assessing malnutrition and predicting clinical outcome in cirrhotic outpatients.",<mask> <mask> <mask> <mask> subjective global <mask> and prognostic nutritional index in assessing malnutrition and predicting clinical outcome in cirrhotic outpatients.
15723745,Impact of fish oil and melatonin on cachexia in patients with advanced gastrointestinal cancer: a randomized pilot study.,Imp<mask>ct <mask> <mask> oil and melatonin on <mask> in patients with advanced gastrointestinal <mask> a randomized pilot study.
15725279,Patients with moderate chemotherapy-induced mucositis: pain therapy using low intensity lasers.,<mask> with moderate chemotherapy-induced mucositis: pain therapy using <mask> <mask> lasers.
1573584,Oral hypoglycaemic agents: the first thirty years.,<mask> hypoglycaemic <mask> the first thirty years.
15741009,Radiologic evaluation following Roux-en-Y gastric bypass surgery for morbid obesity.,Radiologic <mask> following Roux-en-Y <mask> bypass surgery for <mask> obesity.
15741619,The effect of cyclooxygenase-2 inhibition on analgesia and spinal fusion.,The effect of cyclooxygenase-2 <mask> <mask> analgesia <mask> spinal fusion.
15742474,Novel c-KIT germline mutation in a family with gastrointestinal stromal tumors and cutaneous hyperpigmentation.,Novel c-KIT <mask> mutation <mask> a family <mask> gastrointestinal stromal <mask> and cutaneous hyperpigmentation.
15743362,Acute hemodynamic effects of octreotide and terlipressin in patients with cirrhosis: a randomized comparison.,Acute hemodynamic <mask> <mask> octreotide and terlipress<mask> in patients with <mask> a randomized comparison.
15745080,Proposal of a new clinical index predictive of endoscopic severity in ulcerative colitis.,Proposal of a <mask> cl<mask>ical index predictive of <mask> severity in <mask> colitis.
15749010,Setup errors in patients treated with intensity-modulated whole pelvic radiation therapy for gynecological malignancies.,Setup errors <mask> <mask> treated with intensity-modulated whole <mask> radiation therapy <mask> gynecological malignancies.
15753505,Management following resuscitation from cardiac arrest: recommendations from the 2003 Rocky Mountain Critical Care Conference.,Management following resuscitation <mask> cardiac arrest: <mask> <mask> the <mask> <mask> Mountain Critical Care Conference.
1575661,Assessing malnutrition in gastric carcinoma: bioelectrical impedance or clinical impression?,Assessing malnutrition in <mask> carcinoma: bioelectrical <mask> <mask> clinical impression?
15759176,Gastrojejunal strictures following laparoscopic Roux-en-Y gastric bypass for morbid obesity.,Gastrojejunal strictures following <mask> Roux-en-Y <mask> <mask> for morbid obesity.
15764042,Oral lichenoid eruption secondary to imatinib (Glivec).,Oral lichenoid eruption <mask> <mask> imatinib (Glivec).
15764159,Pitfalls in the diagnosis of intestinal tuberculosis: a case report.,Pitfalls in the <mask> <mask> <mask> tuberculosis: a case report.
15765339,The electrocardiographic toxidrome: the ECG presentation of hydrofluoric acid ingestion.,<mask> electrocardiographic toxidrome: the ECG <mask> <mask> hydrofluoric acid ingestion.
15765446,Wireless capsule endoscopy for obscure small-bowel disorders: final results of the first pediatric controlled trial.,Wireless capsule endoscopy for obscure <mask> disorders: final results <mask> <mask> <mask> pediatric controlled trial.
15766012,Staging for CLL-type non-Hodgkin's lymphoma reveals a gastrointestinal stromal tumour.,<m<mask>sk> for CLL-type non-Hodgkin's <mask> reveals a gastrointestinal stromal tumour.
15766026,"Capsule endoscopy: indication, diagnosis and patient management in the doctor's office.",Capsule endoscopy: <mask> <mask> and patient management in the <mask> office.
15770305,Abdominal tuberculosis. On-going challenge to gastroenterologists.,<mask> tuberculosis. On-going challenge <mask> gastroenterologists.
15770374,Impact of reconstruction methods on outcome of pancreatoduodenectomy in pancreatic cancer patients.,<mask> of reconstruction methods on <mask> of pancreatoduodenectomy in pancreatic <mask> patients.
15771304,Neutropenic enterocolitis in acute myeloid leukemia.,<mask> <mask> in acute myeloid leukemia.
15771605,Combined application of amoxicillin and clavulanic acid after oral surgical interventions.,Combined application <mask> amoxicillin <mask> clavulanic <mask> after oral surgical interventions.
15772477,Gastric cancer mimicking a submucosal tumor diagnosed by laparoscopic excision biopsy.,Gastric cancer mimicking a <mask> tumor <mask> by laparoscopic <mask> biopsy.
15772481,Laparoscopic removal of a swallowed sewing needle that migrated into the greater omentum without clinical evidence.,L<mask>paroscopic <mask> of a swallowed sewing needle <mask> migrated into the greater omentum without <mask> evidence.
15772958,Phase I dose-escalation study of tezacitabine in combination with 5-fluorouracil in patients with advanced solid tumors.,Phase I dose-escalation <mask> of <mask> in combination with <mask> in <mask> with advanced solid tumors.
1577358,Low-dose omega-3 fatty acids as lipid lowering agents in the practice. A field study of ambulatory patients in general practice.,Low-dose <mask> fatty acids as <mask> lowering agents in the practice. A field <mask> <mask> ambulatory <mask> in general practice.
15777304,"Effect of adding ketorolac to intravenous morphine patient-controlled analgesia on bowel function in colorectal surgery patients--a prospective, randomized, double-blind study.","<mask> of adding ketorolac to intravenous morphine patient-controlled <mask> on <mask> <mask> in colorectal surgery patients--a prospective, randomized, <mask> study."
15779185,Lymph node and cutaneous tuberculosis revealed by a pyloroduodenal stenosis: a case report.,Lymph node and <mask> tuberculosis revealed <mask> a pyloroduodenal stenosis: a <mask> report.
15780561,The role of follow-up endoscopy after total gastrectomy for gastric cancer.,The <mask> of follow-up endoscopy after <mask> gastrectomy for <mask> cancer.
15781488,"Consensus meeting for the management of gastrointestinal stromal tumors. Report of the GIST Consensus Conference of 20-21 March 2004, under the auspices of ESMO.","<mask> meeting <mask> the management of gastrointestinal stromal tumors. <mask> of the <mask> <mask> Conference of 20-21 March 2004, under the <mask> of ESMO."
15783249,Spotlight on orlistat in the management of patients with obesity.,<mask> on orlistat in the <mask> of patients <mask> obesity.
15785037,Gastric perception thresholds are low and sensory neuropeptide levels high in helicobacter pylori-positive functional dyspepsia.,Gastric perception <mask> are low and sensory neuropeptide levels <mask> in helicobacter <mask> <mask> dyspepsia.
15786530,Effects of 7.5% hypertonic saline on fluid balance after radical surgery for gastrointestinal carcinoma.,Effects of 7.5% hypertonic saline on fluid balance <mask> radical <mask> <mask> <mask> carcinoma.
1578839,Relaparotomy in surgery of cholelithiasis.,Relaparotomy in <mask> <mask> cholelithiasis.
15789254,Retinol binding protein status in relation to ocular surface changes in patients with cystic fibrosis treated with daily vitamin A supplements.,Retinol <mask> protein status in relation <mask> ocular surface <mask> in patients with cystic <mask> <mask> with <mask> vitamin A supplements.
15791979,Gastric perforation secondary to ingestion of a sharp foreign body.,Gastric perforation secondary to ingestion <mask> a <mask> <mask> body.
15792769,Stricture dilation after laparoscopic Roux-en-Y gastric bypass.,Stricture dilation after <mask> <mask> gastric bypass.
15793322,Chronic pelvic pain in women: evaluation and management in primary care.,<mask> pelvic pain in women: <mask> and management in <mask> care.
15795345,New Alström syndrome phenotypes based on the evaluation of 182 cases.,<mask> Alström syndrome phenotypes based on the <mask> of <mask> cases.
15795588,Gastrointestinal symptoms associated with orthostatic intolerance.,Gastrointestinal <mask> associated <mask> orthostatic intolerance.
15800279,Criteria for patient selection and multidisciplinary evaluation and treatment of the weight loss surgery patient.,Criteria for patient <mask> <mask> <mask> evaluation <mask> treatment of the <mask> loss surgery patient.
15802069,Visceral sensitivity to gastric stimulation and its correlation with alterations in gastric emptying and accommodation in humans.,Visceral sensitivity to gastric stimulation and its correlation <mask> alterations <mask> gastric <mask> and accommodation <mask> humans.
15802904,A randomized clinical trial with oral Immunonutrition (omega3-enhanced formula vs. arginine-enhanced formula) in ambulatory head and neck cancer patients.,A randomized clinical trial with <mask> Immunonutrition <mask> formula vs. arginine-enhanced <mask> in ambulatory <mask> and <mask> cancer patients.
15803757,Placebo-controlled blinded study of postoperative pain therapy with carprofen and levomethadone in dogs with fractures.,Placebo-controlled blinded study <mask> postoperative <mask> <mask> with <mask> and levomethadone in dogs with fractures.
15807442,Low density lipoproteins in patients with cholelithiasis and cholesterosis of the gallbladder.,<mask> density lipoproteins in <mask> with cholelithiasis and cholesterosis of <mask> gallbladder.
15810707,Spontaneous esophageal rupture in three patients.,Spontaneous <mask> rupture in <mask> patients.
1581085,Early and late functional results in patients with intrathoracic gastric replacement after oesophagectomy for carcinoma.,<mask> and late functional results <mask> patients with intrathoracic <mask> <mask> after oesophagectomy for carcinoma.
15811841,Intoxication from an accidentally ingested lead shot retained in the gastrointestinal tract.,<mask> from an <mask> ingested lead shot retained in <mask> gastrointestinal tract.
15815911,Multidetector computed tomography enteroclysis (MDCT-E) with neutral enteral and IV contrast enhancement in tumor detection.,Multidetector computed tomography <mask> (MDCT-E) with neutral <mask> and IV <mask> enhancement <mask> tumor detection.
15816467,Effects of perioperative cimetidine administration on peripheral blood lymphocytes and tumor infiltrating lymphocytes in patients with gastrointestinal cancer: results of a randomized controlled clinical trial.,Effects <m<mask>sk> perioperative <mask> administration on peripheral blood <mask> and tumor <mask> <mask> in patients with gastrointestinal <mask> results <mask> a randomized controlled <mask> trial.
15817429,Staging laparoscopy in gastric cancer.,Stag<mask>g <mask> in gastric cancer.
15821626,Laparoscopic transabdominal preperitoneal hernioplasty of bilateral obturator hernia.,Laparoscopic transabdominal <mask> hernioplasty of bilateral <mask> hernia.
15821628,Suture passer tip breakage during laparoscopic ventral hernia repair.,Suture passer tip breakage during <mask> <mask> <mask> repair.
15823441,Pharmacological therapies for obesity.,<mask> therapies for obesity.
15823442,Gastrointestinal management of the bariatric surgery patient.,Gastrointestinal management of <mask> bariatric <mask> patient.
15824341,Acute akinesia in Parkinson disease.,Acute <mask> <mask> Parkinson disease.
15824940,Clinical impact of capsule endoscopy compared to push enteroscopy: 1-year follow-up study.,Clinical impact of <mask> <mask> compared to push enteroscopy: 1-year <mask> study.
15824944,Oil-lubricated colonoscopy: easier and less painful?,<mask> colonoscopy: <mask> and less painful?
15826466,Endoscopy after Roux-en-Y gastric bypass: a community hospital experience.,Endoscopy <mask> Roux-en-Y <mask> bypass: a <mask> hospital experience.
15829880,Medical considerations in dental treatment of children with Williams syndrome.,<mask> considerations in dental treatment of children <mask> <mask> syndrome.
15832581,Capsule endoscopy examination of patients with obscure gastrointestinal bleeding: evaluation of clinical impact.,Capsule <mask> examination <mask> <mask> with <mask> gastrointestinal bleeding: evaluation <mask> clinical impact.
15837988,Familial gastrointestinal stromal tumor syndrome: phenotypic and molecular features in a kindred.,F<mask>milial <mask> stromal tumor syndrome: phenotypic and molecular features <mask> a kindred.
15839813,Quality of life in morbid obesity.,<mask> of life in <mask> obesity.
15841886,Evaluating the safety and tolerability profile of acute treatments for migraine.,Evaluating <mask> safety and tolerability <mask> of acute <mask> for migraine.
15842577,Valdecoxib is associated with improved dyspepsia-related health compared with nonspecific NSAIDs in patients with osteoarthritis or rheumatoid arthritis.,Valdecoxib <mask> associated with improved dyspepsia-related health <mask> with <mask> NSAIDs in patients with <mask> or rheumatoid arthritis.
15843088,Gastric involvement in a patient with secondary syphilis.,<m<mask>sk> involvement in a patient with secondary syphilis.
15846444,A short-term delayed approach to laparoscopic ventral hernia when injury is suspected.,<mask> short-term delayed approach to <mask> ventral hernia when <mask> is suspected.
15850009,Primary malignant melanoma of the small bowel: a case report and review of the literature.,Primary malignant <mask> of the small bowel: a <mask> <mask> and review of the literature.
15853868,Effectiveness and safety of eprosartan on pulse pressure for the treatment of hypertensive patients.,Effectiveness <mask> safety of eprosartan <mask> <mask> <mask> for the treatment of hypertensive patients.
15853994,Symptomatic portal system thrombosis in soldiers due to extended stay at extreme altitude.,Symp<mask>matic <mask> system <mask> in soldiers due to extended stay at <mask> altitude.
15855572,Effects of exenatide (exendin-4) on glycemic control and weight over 30 weeks in metformin-treated patients with type 2 diabetes.,Effects of <mask> (exendin-4) on glycemic <mask> and <mask> over <mask> <mask> in metformin-treated patients with type 2 diabetes.
15855986,Ethanol lavage of pancreatic cystic lesions: initial pilot study.,Ethanol lavage of <mask> cystic <mask> <mask> pilot study.
15856497,An unusual cause of dizziness in bulimia nervosa: a case report.,An <m<mask>sk> cause of dizziness in bulimia <mask> a case report.
15859547,Clinical picture of celiac disease in children.,<mask> <mask> of celiac disease in children.
15863579,Pregnancy after gastric bypass surgery and internal hernia formation.,Pregnancy after <mask> bypass <mask> <mask> internal hernia formation.
15865413,Whole animal copper flux assessed by positron emission tomography in the Long-Evans cinnamon rat--a feasibility study.,Whole animal copper flux assessed by positron emission <mask> <mask> <mask> Long-Evans cinnamon rat--a <mask> study.
15868564,Laparoscopic adjustable gastric banding for the treatment of adolescent morbid obesity in the United States: a safe alternative to gastric bypass.,<m<mask>sk> adjustable <mask> banding for the <mask> <mask> adolescent morbid obesity in the United States: a safe <mask> to <mask> bypass.
15871553,Weight effect of current and experimental drugs for diabetes mellitus: from promotion to alleviation of obesity.,Weight effect <mask> <mask> and experimental drugs for diabetes <mask> from promotion to <mask> <mask> obesity.
15877250,Duodenal intramural hematoma due to blunt abdominal trauma.,Duodenal <mask> <mask> due to blunt abdominal trauma.
15877899,Intestinal perception: mechanisms and assessment.,<mask> perception: <mask> and assessment.
15883823,Associated anomalies in children with congenital solitary functioning kidney.,Associated anomalies in children with <mask> <mask> <mask> kidney.
15888285,The role of upper endoscopy in identifying oesophageal involvement in patients with oral pemphigus vulgaris.,<mask> role of upper <mask> in identifying <mask> involvement in patients with oral pemphigus vulgaris.
15891808,Gamma knife surgery for brain metastases: indications for and limitations of a local treatment protocol.,G<mask>mma knife surgery for <mask> metastases: indications for and limitations of a local <mask> protocol.
15893278,Abdominal CT findings may suggest coeliac disease.,<mask> CT findings may <mask> coeliac disease.
15894686,Tumor antigen markers for the detection of solid cancers in inflammatory myopathies.,Tumor antigen markers <mask> <mask> detection <mask> solid cancers in inflammatory myopathies.
15896432,"Dietary treatment of rheumatoid cachexia with beta-hydroxy-beta-methylbutyrate, glutamine and arginine: a randomised controlled trial.","Dietary <mask> <mask> rheumatoid cachexia with beta-hydroxy-beta-methylbutyrate, <mask> and <mask> a randomised controlled trial."
1590015,Diagnostic problems in nodular regenerative hyperplasia (nodular transformation) of the liver. Review of the literature and report of two cases.,Diagnostic problems in <mask> regenerative hyperplasia <mask> transformation) of <mask> liver. Review of <mask> <mask> and report of two cases.
15900902,Small intestinal foreign body in an adult Eclectus parrot (Eclectus roratus).,<mask> intestinal foreign body in <mask> adult Eclectus parrot <mask> roratus).
15901634,"Double blind, randomised, placebo controlled study of leflunomide in the treatment of active ankylosing spondylitis.","Double bl<mask>d, randomised, <mask> controlled study of <mask> in the treatment of active <mask> spondylitis."
15902735,Computed tomography findings in fatal cases of enormous hepatic portal venous gas.,Computed tomography findings in <mask> <mask> of <mask> hepatic portal venous gas.
15905412,Attenuation of the colorectal tonic reflex in female patients with irritable bowel syndrome.,Attenuation <mask> <mask> colorectal tonic <mask> in female patients with irritable <mask> syndrome.
15906835,Tissue polymerase chain reaction in diagnosis of intestinal tuberculosis and Crohn's disease.,Tissue <mask> cha<mask> reaction in diagnosis <mask> intestinal tuberculosis and Crohn's disease.
15912432,Extra-cardiac chest pain.,Extra-cardiac <mask> pain.
15913485,Pediatric FEESST: fiberoptic endoscopic evaluation of swallowing with sensory testing.,Pediatric FEESST: <mask> <mask> evaluation <mask> swallowing with sensory testing.
15915416,Complications of gastric banding presenting to the ED.,Complications of gastric banding <mask> to <mask> ED.
15916628,Effect of E. coli Nissle 1917 on post-inflammatory visceral sensory function in a rat model.,Effect of E. coli Nissle <m<mask>sk> <mask> post-inflammatory visceral <mask> function in a rat model.
15919295,Effects of obesity and small body size on operative and long-term outcomes of coronary artery bypass surgery: a propensity-matched analysis.,Effects <m<mask>sk> obesity and small body size <mask> operative and long-term outcomes <mask> <mask> artery bypass surgery: a propensity-matched analysis.
1592069,Autonomic dysfunction in men with Parkinson's disease.,Autonomic <mask> in men with <mask> disease.
15922227,Suspected toxoplasma-associated myocarditis in a cat.,<m<mask>sk> toxoplasma-associated myocarditis in a cat.
15922537,Testing nasogastric tube placement: evaluation of three different methods in intensive care unit.,<mask> <mask> <mask> placement: evaluation of three different methods <mask> intensive care unit.
1592336,Upper gastrointestinal endoscopic findings and gastric mucosal blood flow in patients with rheumatoid arthritis.,Upper gastrointestinal endoscopic <mask> <mask> gastric <mask> blood <mask> in patients with rheumatoid arthritis.
15927898,Efficacy and safety of hypoglycemic drugs in children with type 2 diabetes mellitus.,<mask> and safety of <mask> drugs <mask> children with type 2 <mask> mellitus.
15929190,Superior mesenteric artery syndrome following scoliosis surgery: its risk indicators and treatment strategy.,<mask> mesenteric artery <mask> following <mask> <mask> its risk indicators and treatment strategy.
15929678,Exenatide improves glycemic control and reduces body weight in subjects with type 2 diabetes: a dose-ranging study.,Exen<mask>tide improves glycemic control and reduces body weight in subjects with <mask> <mask> <mask> a <mask> study.
15930984,Video capsule endoscopy in inflammatory bowel disease 2005.,Video capsule <mask> in inflammatory bowel <mask> 2005.
15932151,Particular features of clinical and morphological manifestations of the atrophic process in the mucous coat of the stomach in case of absence and presence of infection with Helicobacter pylori (first stage).,Particular features <mask> <mask> <mask> morphological manifestations <mask> <mask> atrophic process in <mask> mucous coat <mask> <mask> <mask> in case <mask> absence <mask> presence <mask> infection with Helicobacter pylori (first stage).
15933931,Is it feasible to reach the bypassed stomach after Roux-en-Y gastric bypass for morbid obesity? The use of the double-balloon enteroscope.,<mask> it feasible to reach <mask> bypassed <mask> <mask> Roux-en-Y gastric bypass <mask> <mask> obesity? The use of <mask> double-balloon enteroscope.
15934175,Effects of acupressure on gastric myoelectrical activity in healthy humans.,<mask> of acupressure on <mask> myoelectrical activity <mask> healthy humans.
1593788,Age-related effects of gastroduodenoscopy on arterial oxygen saturation.,Age-related effects of gastroduodenoscopy on <mask> <mask> saturation.
15942092,Hypermagnesemia induced by massive cathartic ingestion in an elderly woman without pre-existing renal dysfunction.,Hypermagnesemia <mask> by massive cathartic <mask> in <mask> <mask> woman without pre-existing renal dysfunction.
15942203,Effect of acute hyperglycemia on intestinal gas transit and tolerance in nondiabetic humans.,Effect <mask> acute <mask> on intestinal gas transit and <mask> in <mask> humans.
15944872,The value of autonomic testing in postural tachycardia syndrome.,The <mask> of autonomic <mask> <mask> postural tachycardia syndrome.
15946455,Short-term results of laparoscopic mini-gastric bypass.,Short-term results <mask> laparoscopic <mask> bypass.
15946571,Clinical characteristics and prognosis of diffuse large B-cell lymphoma.,Clinical <mask> <mask> prognosis of diffuse <mask> B-cell lymphoma.
15948937,"Adverse drug reactions to nonsteroidal anti-inflammatory drugs, COX-2 inhibitors and paracetamol in a paediatric hospital.",Adverse drug <mask> to nonsteroidal <mask> <mask> COX-2 inhibitors and paracetamol in a <mask> hospital.
1595057,Partial portacaval shunt: renaissance of an old concept.,Partial portacaval <mask> renaissance <mask> an old concept.
15951987,Clinical spectrum and surgical approach of adult intussusceptions: a multicentric study.,<mask> spectrum and <mask> approach <mask> adult intussusceptions: a multicentric study.
15952301,Fatal adenovirus infection indistinguishable from thrombotic microangiopathy after allogeneic CD34+ peripheral progenitor cell transplantation.,Fatal adenovirus <mask> indistinguishable <mask> <mask> microangiopathy after allogeneic <mask> peripheral progenitor cell transplantation.
15954234,The Bariatric Quality of Life index: a measure of well-being in obesity surgery patients.,The Bariatric Quality <mask> <mask> <mask> a measure <mask> well-being in obesity <mask> patients.
15954829,Laparoscopic tension-free repair of large paraesophageal hiatal hernias with a composite A-shaped mesh: two-year follow-up.,<m<mask>sk> tension-free repair of large paraesophageal hiatal hernias <mask> a composite A-shaped <mask> two-year follow-up.
15956632,Effect of orlistat on weight and body composition in obese adolescents: a randomized controlled trial.,Effect of orlistat <mask> weight and body <mask> <mask> <mask> adolescents: a randomized controlled trial.
15959825,Carboplatin plus paclitaxel in the treatment of advanced or recurrent endometrial carcinoma.,<mask> plus <mask> in the treatment <mask> advanced or recurrent endometrial carcinoma.
15962817,A case of encephalomyelopolyneuropathy in vitamin B12 deficiency.,A <mask> of encephalomyelopolyneuropathy in vitamin <mask> deficiency.
15967524,The magnetic resonance detected intraprostatic lesion in prostate cancer: planning and delivery of intensity-modulated radiotherapy.,<mask> magnetic resonance <mask> intraprostatic lesion in prostate cancer: planning <mask> delivery of <mask> radiotherapy.
15970339,"Apelin, orexin-A and leptin plasma levels in morbid obesity and effect of gastric banding.",<mask> <mask> and leptin plasma <mask> in morbid obesity and effect of gastric banding.
