,highlights,paraphrased_highlights
145,Remifentanil is an effective alternative to propofol for patient-controlled analgesia during digestive endoscopic procedures.,Remifentanil is an effective alternative to Propofol for patient controlled analgesia during digestive endoscopic procedures.
146,Diagnostic staging of Parkinson's disease: conceptual aspects.,Diagnostic staging of Parkinson's disease: conceptual aspects.
147,Laparoscopic Roux-en-Y gastric bypass in morbidly obese and super morbidly obese patients.,Laparoscopic Roux-en-Y gastric bypass in morbidly obese and super obese patients.
148,"Therapeutic efficacy of once-daily oral administration of a Kunitz-type protease inhibitor, bikunin, in a mouse model and in human cancer.",Therapeutic efficacy of once daily oral administration of a Kunitz-type protease inhibitor bikunin in a mouse model and human cancer.
149,The prevention of the fluid-electrolyte  problem  by simple means.,The prevention of the fluid electro-polystyron problem through simple means.
150,Mesoatrial shunt: a new treatment for the Budd-Chiari syndrome.,Mesoatrial Shunt: a new treatment for Budd - Chiari Syndrome.
151,Acute superior mesenteric artery syndrome following left hemicolectomy: a case report.,Acute superior mesenteric artery syndrome after hemicolectomy: a case report
152,Hormonal changes after Roux-en Y gastric bypass for morbid obesity and the control of type-II diabetes mellitus.,Hormonal changes after Roux-en Y gastric bypass for morbid obesity and control of type II diabetes mellitus
153,Clinical analysis of pulmonary tuberculosis detected during follow-up of other underlying diseases.,Clinical analysis of pulmonary tuberculosis detected during follow up of other underlying diseases.
154,"Abdominal laparoscopy, experience in 1,400 cases studied.","Abdominal laparoscopy was studied in 1,400 cases."
155,A systematic review of the clinical effectiveness of orlistat used for the management of obesity.,A systematic review of the clinical efficacy of orlistat used for the management of obesity.
156,Clinical characteristics of colorectal polyp in Thai children: a retrospective study.,Clinical characteristics of colorectal polyp in Thai children : a retrospective study
157,Clinical features and management of Crohn's disease in Chinese patients.,Clinical features and management of Crohn's Disease in Chinese patients.
158,Socioeconomic characteristics of the population eligible for obesity surgery.,Socioeconomic characteristics of the population that are eligible for surgery on obesity
159,The clinical value of miniature ultrasonic probes on diagnosis and treatment of digestive tract diseases.,The clinical value of miniature ultrasonic probes for the diagnosis and treatment of digestive tract diseases.
160,Prognostic value of sentinel lymph node biopsy in the pathologic staging of colorectal cancer patients.,Prognostic value of the sentinel lymph node biopsy in the pathological staging of colorectal cancer patients.
161,Investigation and management of dysphagia.,Investigation and management of dysphagia.
162,Characterization of spontaneous and ethanol-induced gastric damage in cirrhotic rats.,Characterization of spontaneous and ethanol-induced gastric damage in cirrhotic rats
163,Glucagon-like peptide 1 (GLP-1) secretion and plasma dipeptidyl peptidase IV (DPP-IV) activity in morbidly obese patients undergoing biliopancreatic diversion.,Glucagon-like peptide 1 (GLP-1) secretion and plasma dipeptidyl peptidase IV (DPP-IV) activity in morbidly obese patients undergoing biliopancreatic diversion.
164,Colonoscopic manifestations of typhoid fever with lower gastrointestinal bleeding.,Colonoscopic manifestations of typhoid fever with lower gastrointestinal bleeding.
165,Combined terminal ileoscopy and biopsy is superior to small bowel follow-through in detecting terminal ileal pathology.,Combined terminal ileoscopy and biopsy are superior to small bowel follow-through in the detection of terminal ileal pathology.
166,Increased cardiac awareness in panic disorder.,In panic disorder increased cardiac awareness.
167,Does endoscopy improve prediction of the prognosis in upper gastrointestinal bleeding?,Does endoscopy improve the prediction of prognosis in upper gastro edema?
168,Gastrointestinal stromal tumors: a broad clinical spectrum from incidental -discovery to acute gastrointestinal bleeding.,Gastrointestinal stromal tumors: a broad clinical spectrum from incidental discovery to acute gastrointestinal bleeding.
169,Patient satisfaction is rated higher by radiation oncology outpatients receiving nutrition intervention compared with usual care.,"By radiation oncology - outpatients receiving nutrition intervention, patient satisfaction is higher than usual care."
170,Significance of metastasis detected by molecular techniques in sentinel nodes of patients with gastrointestinal cancer.,Significance of metastasis detected by molecular techniques in sentinel nodes of patients with gastrointestinal cancer
171,Suprapancreatic and periportal lymph nodes are normally larger than 1 cm by laparoscopic ultrasound evaluation.,The suprapancreatic and periportal lymph nodes are normally larger than 1 cm by laparoscopic ultrasound evaluation.
172,Transjugular intrahepatic portosystemic shunt creation with the Viatorr expanded polytetrafluoroethylene-covered stent-graft.,Transjugular intrahepatic portosystemic shunt formation with the expanded polytetrafluoroethylene-covered stent-graft Viatorr.
173,Psychiatric manifestations of vitamin B12 deficiency: a case report.,Psychiatric manifestations of vitamin B12 Deficiency: case report
174,Early referral to a nephrologist is associated with better outcomes in type 2 diabetes patients with end-stage renal disease.,Early referral to a nephrologist is associated with better outcomes in type 2 diabetes patients with end-stage renal disease.
175,Recurrent abdominal pain in children: the utility of upper endoscopy and histopathology.,Recurrent abdominal pain in children: the utility of upper endoscopy and histopathology
176,Comparative effects of a two-week treatment with nebivolol and nifedipine in hypertensive patients suffering from COPD.,Comparative effects of a two-week treatment with nebivolol and nifedipine in hypertensive patients suffering from COPD.
177,Upper gastrointestinal tract barium examination of postbulbar duodenal ulcers.,Barium analysis of the upper gastrointestinal tract of postbulbar duodenal ulcers
178,Treatment with hypnotherapy reduces the sensory and motor component of the gastrocolonic response in irritable bowel syndrome.,The treatment with hypnotherapy reduces the sensory and motor component of the gastrocolonic response in irritable bowel syndrome.
179,"Clinical value of Helicobacter pylori stool antigen test, ImmunoCard STAT HpSA, for detecting H pylori infection.","Clinical value of the Helicobacter pylori stool antigen test, ImmunoCard STAT HpSA, for detecting H pylori infection."
180,The value of imaging techniques in the diagnosis of non-specific abdominal pain in young patients.,The value of imaging techniques in the diagnosis of non-specific abdominal pain in young patients.
181,Treatment of functional signs of acute maxillary rhinosinusitis in adults. Efficacy and tolerance of administration of oral prednisone for 3 days.,Treatment of functional signs of acute maxillary rhinosinusitis in adults Efficacy and tolerance of oral prednisone for 3 days
182,Assessment of anxiety in intensive care patients by using the Faces Anxiety Scale.,"In intensive care patients, assessment of anxiety using the Faces Anxiety Scale."
183,Medical problems in the returning expatriate.,Medical problems in return of the expatriate
184,Beneficial metabolic effects of chronic glipizide in obese African Americans with impaired glucose tolerance: implications for primary prevention of type 2 diabetes.,Beneficial metabolic effects of chronic glipizide in obese African Americans with impaired glucose tolerance: implications for primary prevention of Type 2 diabetes.
185,A rare entity in the rectum: malignant melanoma.,A rare entity in the rectum: malignant melanoma.
186,Effect of a gluten-free diet on gastrointestinal symptoms in celiac disease.,Effect of a gluten-free diet on gastrointestinal symptoms in celiac disease.
187,"Anorectal incontinence: aetiology, pathophysiology and evaluation.","Anorectal incontinence: aetiology, pathophysiology and evaluation"
188,Coordinating care for children with Turner syndrome.,Coordinating the care for children with Turner Syndrome.
189,Acute onset of non-Hodgkin's lymphoma with serious gastrointestinal haemorrhage: diagnosis and surgical treatment (case report).,Acute onset of non-Hodgkin lymphoma with serious gastrointestinal hemorrhage: diagnosis and surgical treatment (case report).
190,Evaluation of gastrointestinal stromal tumors for recurrence rates and patterns of long-term follow-up.,Evaluation of gastrointestinal stromal tumors for recurrence rates and patterns of long-term follow-up.
191,A 6-month open-label study of the effectiveness and tolerability of galantamine in patients with Alzheimer's disease.,A 6-month open-label study of the effectiveness and tolerability of galantamine in patients with Alzheimer's disease.
192,Neutropenic enterocolitis in acute leukemia: diagnostic and therapeutic dilemma.,Neutropenic enterocolitis in acute leukemia: diagnostic and therapeutic dilemma
193,Pediatric surgical image. A rare case: celiac artery compression syndrome in an asymptomatic child.,Pediatric surgery image. A rare case: celiac artery compression syndrome in an asymptomatic child.
194,Clinical and instrumental characteristics of gastrointestinal bleeding caused by non-steroidal anti-inflammatory drugs.,Clinical and instrumental characteristics of gastrointestinal bleeding caused by non-steroidal anti-inflammatory drugs
195,Radiologic assessment of the upper gastrointestinal tract: does it play an important preoperative role in bariatric surgery?,Radiologic assessment of the upper gastrointestinal tract: does it play an important preoperative role in bariatric surgery?
196,Fever of unknown origin in carcinoma of the colon.,Fever of unknown origin in the colon carcinoma.
197,Clinical-functional characteristics of digestive and bone systems in late follow-up period after pneumonectomy performed for tuberculosis or chronic nonspecific pulmonary disease.,Clinical and functional characteristics of the digestive and bone systems in a late follow-up period following pneumonectomy performed for tuberculosis or chronic non-specific pulmonary disease.
198,The co-existence of Fabry and celiac diseases: a case report.,The co-existence of Fabry and celiac diseases: a case report
199,Reduction in salivary cortisol level by music therapy during colonoscopic examination.,Reduction of the salivary cortisol level by music therapy during colonoscopic examination
200,Expression of cyclooxygenase-2 in cholangiocarcinoma: correlation with clinicopathological features and prognosis.,Expression of cyclooxygenase-2 in cholangiocarcinoma: correlation with clinicopathological features and prognosis
201,The quality of medical care provided to vulnerable older patients with chronic pain.,The quality of medical care provided to vulnerable older patients with chronic pain.
202,Accelerated regional bowel transit and overweight shown in idiopathic bile acid malabsorption.,Accelerated regional bowel transit and overweight in idiopathic bile acid malabsorption are shown.
203,Blunt trauma to the gastrointestinal tract and mesentery: is there a role for helical CT in the decision-making process?,Blunt trauma to the gastrointestinal tract and mesentery: is there a role for helical CT in the decision-making process?
204,Is scintigraphic double-track appearance a sign of severe acute episodes of ulcerative colitis?,Is the scintigraphic double-track appearance a sign of severe acute episodes of ulcerative colitis?
205,Chest pain in pediatric patients presenting to an emergency department or to a cardiac clinic.,Chest pain in pediatric patients presenting to an emergency department or a cardiac clinic.
206,Autonomic nervous function in Helicobacter pylori-infected patients with atypical chest pain studied by analysis of heart rate variability.,Autonomic nervous function in Helicobacter pylori-infected patients with atypical chest pain was studied by analysis of the heart rate variability
207,Effects of low-dose nifedipine GITS on sympathetic activity in young and older patients with hypertension.,Effects of low dose nifedipine GITS on sympathetic activity in young and older patients with hypertension.
208,Long-term outcomes and quality of life after laparoscopic adhesiolysis for chronic abdominal pain.,Long-term outcomes and quality of life after laparoscopic adhesion for chronic abdominal pain
209,Diagnostic strategies for unknown primary cancer.,Diagnostic strategies for unidentified primary cancer.
210,Burkitt-like lymphoma: subileus and ascites as the main clinical manifestations.,Symptoms of Burkitt-like lymphoma: subileus and ascites as primary clinical manifestations.
211,The diagnosis of intussusception.,The diagnosis of a intussusception.
212,Functional abdominal pain syndrome.,Functional abdominal pain syndrome
213,Implantable gastric stimulation for weight loss.,Implantable gastric stimulation for weight loss.
214,Clinically severe obesity--a review.,Clinically severe obesity--a review.
215,Techniques of reconstruction after total gastrectomy for cancer.,Methods of reconstructing after total gastrectomy for cancer.
216,Enterocolitis: an adverse event in refractory epilepsy patients treated with levetiracetam?,Enterocolitis is an adverse event in refractory epilepsy patients treated with levetiracetam?
217,Intragastric balloon for  non-morbid  obesity: a retrospective evaluation of tolerance and efficacy.,Intragastric balloon for non-morbid obesity: a retrospective evaluation of tolerance and effectiveness
218,Limited-sequence magnetic resonance imaging in the evaluation of the ultrasonographically indeterminate pelvic mass.,Limited-sequence magnetic resonance imaging in the evaluation of the ultrasonographically indeterminate pelvic mass.
219,Is splanchnic perfusion pressure more predictive of outcome than intragastric pressure in neonates with gastroschisis?,Is the splanchnic perfusion pressure more predictive of outcome in neonates with gastroschisis than intragastric pressure
220,The magnified endoscopic view of cardia-type mucosa.,The magnified endoscopic view of the cardia-type mucosa
221,Review of 180 episodes of chest pain in 134 children.,Review of 180 episodes of chest pain in 134 children
222,Preoperative endoscopic analysis of thymidine phosphorylase and dihydropyrimidine dehydrogenase in gastrointestinal cancer.,Preoperative endoscopic analysis of Thymidine phosphorylase and Dihydropyrimidine dehydrogenase in gastrointestinal cancer
223,Hepatic portal venous gas: clinical significance of computed tomography findings.,Hepatic portal venous gas: clinical significance of computed tomography findings
224,Cross-sectional imaging in Crohn disease.,Cross-sectional imaging in Crohn disease.
225,Calories count. Improved weight gain with dietary intervention in congenital heart disease.,Calories count: Improved weight gain with dietary intervention in congenital heart disease.
226,Efficacy of lanreotide 30 mg on prevention of pain relapse after oral refeeding in patients with necrotizing acute pancreatitis. A phase II prospective multicentre study.,"Efficacy of lanreotide 30 mg on prevention of pain relapse after oral refeeding in patients with acute necrotizing pancreatitis, a prospective multicentre study phase II."
227,Incidence of clinically evident deep venous thrombosis after laparoscopic Roux-en-Y gastric bypass.,Incidence of clinically evident deep vein thrombosis after laparoscopic Roux-en-Y gastric bypass
228,Malignant lymphomas of the upper gastrointestinal tract. Results of a prospective study in 103 patients.,Malignant lymphomas of the upper gastrointestinal tract - Results of a prospective study in 103 patients.
229,Normal anatomy and complications after gastric bypass surgery: helical CT findings.,Normal anatomy and complications after gastric bypass surgery: helical CT findings
230,Synchronous colorectal neoplasms in patients with colorectal cancer: predisposing individual and familial factors.,Synchronous colorectal neoplasms in patients with colorectal cancer: Predisposing individual and family factors.
231,Radiological spectrum of late sequelae of corrosive injury to upper gastrointestinal tract. A pictorial review.,Radiological spectrum of late sequelae of corrosive wound in the upper gastrointestinal tract : A pictorial review
232,A comparison study of quality of life in women with fibromyalgia and myofascial pain syndrome.,A comparative study of the quality of life of women with fibromyalgia and myofascial pain syndrome.
233,"L-ornithine alpha-ketoglutarate in HIV infection: effects on muscle, gastrointestinal, and immune functions.","Evaluating the role of L-ornithine alpha-ketoglutarate in HIV infection: effects on muscle, gastrointestinal and immune functions"
234,Perforated duodenal diverticulum successfully diagnosed preoperatively with abdominal CT scan associated with upper gastrointestinal series.,Perforated duodenal diverticulum has been successfully diagnosed preoperatively with abdominal CT for the upper gastrointestinal series.
235,Tuberculous gastric perforation: report of a case.,Tuberculous gastric perforation: report of a case
236,Liver transplantation in infants weighing under 7 kilograms: management and outcome of PICU.,Liver transplantation in babies under 7 kg: management and outcome of PICU
237,Early predictors of severe lower gastrointestinal bleeding and adverse outcomes: a prospective study.,Early predictors of severe lower gastrointestinal bleeding and adverse outcomes : a prospective study
238,Depression and abdominal pain in IBS patients: the mediating role of catastrophizing.,Depression and abdominal pain in IBS patients: the catalytic role of catastrophising
239,Diagnosis of constipation in primary and secondary care.,Diagnosis of constipation in primary and secondary care.
240,What does pain or discomfort in irritable bowel syndrome mean?,What means pain or discomfort in irritable bowel syndrome?
241,More 'cries from the joints': assessment of the musculoskeletal system is poorly documented in routine paediatric clerking.,More 'cries from the joints': the assessment of the musculoskeletal system is poorly documented in routine paediatric procedure.
242,Accidental oral poisoning caused by RDX (cyclonite): a report of 5 cases.,Accidental oral poisoning caused by RDX (cyclonite): a report of 5 cases.
243,Infliximab heals intestinal inflammatory lesions and restores growth in children with Crohn's disease.,Infliximab heals intestinal inflammatory lesions and restores growth in children with Crohn's disease.
244,Irritable bowel syndrome - an evidence-based approach to diagnosis.,Irritated intestinal syndrome -- an evidence-based approach to diagnosis.
245,Postoperative functional evaluation of jejunal interposition with or without a pouch after a total gastrectomy for gastric cancer.,Postoperative functional assessment of jejunal interposition with or without a pouch after a total gastrectomy for gastric cancer.
246,Selecting optimum antihypertensive therapy: indications for choosing a calcium channel blocker.,Selecting the optimal antihypertensive treatment: indications for choosing a calcium channel blocker
247,Diarrhoea.,Diarrhoea
248,"Dose-dependent efficacy of diclofenac-cholestyramine on pain and periarticular ossifications after total hip arthroplasty: a double-blind, prospective, randomised trial.","Dose-dependent efficacy of diclofenac-cholestyramine on pain and periarticular ossification after total hip arthroplasty : a prospective, double-blind trial"
249,"A clinical, microbiological, and pathological study of intestinal perforation associated with typhoid fever.","A clinical, microbiological and pathological study of intestinal perforation associated with Typhoid fever."
250,Nutritional therapy in children during perioperative period.,Nutritional therapy in children during the perioperative period.
251,Effectiveness and safety of cholinesterase inhibitors in elderly subjects with Alzheimer's disease: a  real world  study.,Efficacy and safety of cholinesterase inhibitors in elderly subjects with Alzheimer's disease : a real world study
252,Diagnosis of gastrointestinal tract lesions by endoscopic ultrasound-guided fine-needle aspiration biopsy.,Diagnosis of gastrointestinal tract lesions by endoscopic ultrasound-guided fine needle aspiration biopsy
253,Cyproheptadine is an effective appetite stimulant in cystic fibrosis.,Cyproheptadine is an effective appetite stimulant in cystic fibrosis.
254,A clinical and nutritional comparison of biliopancreatic diversion with and without duodenal switch.,A clinical and nutritional comparison of biliopancreatic diversion with and without duodenal switch
255,Plasma lipoproteins and renal function during simvastatin treatment in diabetic nephropathy.,Plasma lipoproteins and renal function during Simvastatin treatment in diabetic nephropathy
256,Serum leptin concentration and advanced gastrointestinal cancers: a case controlled study.,Serum leptin concentration and advanced gastrointestinal cancers: a case-controlled study
257,Acute large bowel pseudo-obstruction due to multiple myeloma.,Acute large bowel pseudo-obstruction due to multiple myeloma
258,Clinical and pathological disappearance of peritoneal dissemination in a patient with advanced gastric cancer receiving chemotherapy with S-1 and low-dose cisplatin.,Clinical and pathological disappearance of peritoneal dispersal in a patient with advanced gastric cancer receiving chemotherapy with S-1 and low-dose cisplatin
259,The acute effect of orlistat on endothelial function in young obese women.,The acute effect of orlistat on endothelial function in young obese women
260,"A double-blind randomised controlled clinical trial of the effect of preoperative ibuprofen, diclofenac, paracetamol with codeine and placebo tablets for relief of postoperative pain after removal of impacted third molars.","a double-blind randomised controlled clinical trial of the effect of preoperative ibuprofen, diclofenac, paracetamol with codeine and placebo tablets for the relief of postoperative pain after removal of the third molars."
261,Nutrition intervention is beneficial in oncology outpatients receiving radiotherapy to the gastrointestinal or head and neck area.,Nutrition interventions are beneficial in oncology outpatients receiving radiotherapy to the gastrointestinal or the head and neck area.
262,Sigmoidoscopy in children with chronic lower gastrointestinal bleeding.,Sigmoidoscopy in children with chronic lower gastrointestinal bleeding.
263,"Silent peptic ulcer disease: frequency, factors leading to  silence,  and implications regarding the pathogenesis of visceral symptoms.","Silent peptic ulcer disease: frequency, factors leading to silence, and implications for the pathogenesis of visceral symptoms."
264,Personal history and family history as a predictor of gastric cardiac adenocarcinoma risk: a case-control study in Taiwan.,Personal history and family history as a predictor of gastric cardiac adenocarcinoma risk : a case-control study in Taiwan
265,The cost-effectiveness of hepatic venous pressure gradient monitoring in the prevention of recurrent variceal hemorrhage.,The cost-effectiveness of hepatic venous pressure gradient monitoring in the prevention of recurrent variceal hemorrhage.
266,Acute diarrhoea revealing a coeliac disease.,Acute diarrhoea reveals a coeliac disease.
267,Laryngo-upper esophageal sphincter contractile reflex in humans deteriorates with age.,Laryngo-upper esophageal muscle contractile reflex deteriorates in humans with age.
268,Surgical management of malignant bowel obstruction.,Surgical management of malignant bowel obstruction
269,Multiple colonic polyps as the initial presentation of malignant melanoma.,Multiple colonic polyps as the initial presentation of malignant melanoma.
270,Importance of serum bile acids determination in adolescents with juvenile hyperbilirubinaemia.,Importance of serum bile acid determination in adolescents with juvenile hyperbilirubinaemia
271,Efficacy of electrolyzed acid water in reprocessing patient-used flexible upper endoscopes: Comparison with 2% alkaline glutaraldehyde.,Efficacy of electrolyzed acid water in the reprocessing of patient-used flexible upper endoscopes: compared with 2% alkaline glutaraldehyde.
272,Position of nuclear medicine techniques in the diagnostic work-up of neuroendocrine tumors.,Position of nuclear medicine techniques in the diagnostic analysis of neuroendocrine tumors.
273,Endoscopic biopsies from normal-appearing terminal ileum and cecum in patients with suspected colonic tuberculosis.,Endoscopic biopsies from normal-apparent terminal ileum and cecum in patients with suspected colon tuberculosis
274,Altered visceral perceptual and neuroendocrine response in patients with irritable bowel syndrome during mental stress.,Altered visceral perception and neuroendocrine response in patients with irritable bowel syndrome during mental stress.
275,Procedure incidence and in-hospital complication rates of bariatric surgery in the United States.,The frequency and inhospital complications of bariatric surgery in the United States.
276,The effects of gastric surgery on systemic ghrelin levels in the morbidly obese.,The effects of gastric surgery on systemic ghrelin levels of morbidly obese
277,Oral sodium phosphate solution: a review of its use as a colorectal cleanser.,Oral sodium phosphate solution : a review of its use as a colorectal cleanser
278,Relationship of abuse history and other risk factors with obesity among female gastrointestinal patients.,Relationship of abuse history and other risk factors with obesity among female gastrointestinal patients.
279,Long-term pharmacotherapy for obesity and overweight.,Long-term pharmacotherapy for obesity and overweight
280,"Efficacy of celecoxib, a COX-2-specific inhibitor, and naproxen in the management of acute ankle sprain: results of a double-blind, randomized controlled trial.","Efficacy of celecoxib, a COX-2-specific inhibitor, and naproxen in the management of acute ankle sprain: results of a double-blind, randomized controlled trial"
281,The early effect of the Roux-en-Y gastric bypass on hormones involved in body weight regulation and glucose metabolism.,The early effect of Roux-en-Y gastric bypass on hormones involved in the body weight regulation and glucose metabolism.
282,Gastrointestinal stromal tumor (GIST): a rare case of severe gastric haemorrhage.,Gastrointestinal stromal tumor (GIST): rare case of serious gastric haemorrhage
283,Prospective study of routine contrast radiology after total gastrectomy.,Prospective study of routine contrast radiology after total gastrectomy
284,A review of 35 cases of asymmetric crying facies.,A review of 35 cases of asymmetric crying facies.
285,Use of Rome II criteria in childhood defecation disorders: applicability in clinical and research practice.,Use of Rome II criteria in Childhood Defecation Disorders: Applicability in clinical and research practice
286,Morning preprandial plasma ghrelin and catecholamine concentrations in patients with phenylketonuria and normal controls: evidence for catecholamine-mediated ghrelin regulation.,The morning plasma ghrelin and catecholamine concentrations in patients with phenylketonuria and normal controls: evidence for catecholamine-mediated ghrelin regulation
287,Is biliary pain exclusively related to gallbladder stones? A controlled prospective study.,Is biliary pain only related to gallbladder stones?
288,Computed tomography evaluation of diverticulitis.,COMPUTING TOMography evaluation of diverticulitis
289,Infliximab in spondyloarthropathy associated with Crohn's disease: an open study on the efficacy of inducing and maintaining remission of musculoskeletal and gut manifestations.,Infliximab in spondyloarthropathy associated with Crohn's disease: an open study of the efficacy of inducing and maintaining the remission of musculoskeletal and gut manifestations
290,Role of endoscopic gastric biopsies in the management of gastritis. A study of 250 consecutive cases.,"In the management of gastritis, endoscopic gastric biopsies are the most important players: a study of 250 consecutive cases"
291,Sonographic diagnosis of intestinal malrotation in infants: importance of the relative positions of the superior mesenteric vein and artery.,Sonographic diagnosis of intestinal malrotation in infants: importance of the relative positions of the superior mesenteric vein and artery.
292,Impairment of gastrointestinal motility by nitrate administration: evaluation based on electrogastrographic changes and autonomic nerve activity.,Impairment of gastrointestinal motility by nitrate administration: evaluation based on electrogastrographic changes and autonomic neurodeposition
293,Chronotherapy of hypertension.,Chronotherapy of hypertension.
294,The significance of intrauterine growth restriction is different from prematurity for the outcome of infants with gastroschisis.,The significance of intrauterine growth restriction is different for the outcome of a child with gastroschisis from prematurity.
295,Cloacal exstrophy: morbidity associated with abnormalities of the gastrointestinal tract and spine.,Cloacal exstrophy is associated with anomalies in the intestinal tract and spine.
296,A placebo-controlled clinical trial of nadolol in the prophylaxis of growth of small esophageal varices in cirrhosis.,A placebo-controlled clinical trial of nadolol in the prophylaxis of the growth of small esophageal varices in cirrhosis.
297,Advantages of assaying telomerase activity in ascites for diagnosis of digestive tract malignancies.,Advantages of assaying telomerase activity in Ascites for diagnosis of digestive disorders
298,Clinical analysis of primary small intestinal disease: A report of 309 cases.,Clinical analysis of primary small intestinal illness: A report of 309 cases.
299,Influence of obesity on in-hospital and early mortality and morbidity after myocardial revascularization.,Influence of obesity on in-hospital mortality and early mortality and morbidity after myocardial revascularization
300,Passive transfer of autoimmune autonomic neuropathy to mice.,Passive transfer of autoimmune autonomic neuropathy to mice
301,A case of acute liver failure caused by herpes simplex type 2.,A case of acute liver failure caused by Herpes simplex type 2
302,Endoscopic therapy for acute nonvariceal upper gastrointestinal hemorrhage: a meta-analysis.,Endoscopic therapy for acute nonvariceal upper gastrointestinal hemorrhage: a meta-analysis
303,Clinical and histological features of duodenal ulcer in children and adolescents.,Clinical and histological characteristics of duodenal ulcer in children and adolescents.
304,Impaired rectoanal inhibitory response in scleroderma (systemic sclerosis): an association with fecal incontinence.,A reformed rectoanal inhibitory response in scleroderma (systemic sclerosis): association with fecal incontinence.
305,Serum levels of leptin and proinflammatory cytokines in patients with gastrointestinal cancer.,Serum levels of Leptin and proinflammatory cytokines in patients with gastrointestinal cancer.
306,Management of home care for the advanced cancer patient from the standpoint of home hospice.,Manage of home care for advanced cancer patient from the standpoint of home hospice.
307,Nocturnal enuresis: medical management.,Nocturnal enuresis: Medical management
308,"A 55-year-old man with hypogammaglobulinemia, lymphopenia, and unrelenting cutaneous warts.","A 55-year-old man with hypogammaglobulinemia, lymphopenia and constant cutaneous warts."
309,Impact of laparoscopic adjustable gastric banding for morbid obesity on disease-specific and health-related quality of life.,The impact of the laparoscopic adjustable gastric banding for morbid obesity on the disease-specific and health-related quality of life
310,"Postbariatric surgery deaths, which fall under the jurisdiction of the coroner.",Postbariatric Surgery deaths which are under the jurisdiction of the coroner
311,Giant retroperitoneal lipomas--radiological case report.,Giant retroperitoneal lipomas -- case report radiology
312,Endoscopic sonographically guided fine-needle aspiration yield in submucosal tumors of the gastrointestinal tract.,Endoscopic sonographically guided fine needle aspiration yields in submucosal tumors of the gastrointestinal tract.
313,Routine preoperative upper endoscopy for laparoscopic gastric bypass: is it necessary?,Routine upper endoscopy for laparoscopic gastric bypass: is it necessary?
314,Are we closer to finding the treatment for type 2 diabetes mellitus in morbid obesity? Are the incretins the key to success?,"In morbid obesity, are we closer to finding the treatment for diabetes mellitus of type 2? Are the incretins the key to success?"
315,Superior mesenteric artery syndrome after laparoscopic Roux-en-Y gastric bypass for morbid obesity.,Superior mesenteric arterial syndrome after laparoscopic Roux-en-Y gastric bypass for morbid obesity
316,Sedation versus no sedation in the performance of diagnostic upper gastrointestinal endoscopy: a Canadian randomized controlled cost-outcome study.,Sedation versus no sedation in the performance of diagnostic upper gastrointestinal endoscopy: a Canadian randomized controlled cost-outcome study
317,Obesity is associated with increased risk of gastrointestinal symptoms: a population-based study.,Obesity is associated with increased risk for gastrointestinal symptoms: a population-based study
318,Endoscopist administered propofol for upper-GI EUS is safe and effective: a prospective study in 500 patients.,Endoscopist administered propofol for upper gastrointestinal EUS is safe and effective : a prospective study in 500 patients
319,Administration-time-dependent effects of doxazosin GITS on ambulatory blood pressure of hypertensive subjects.,Administration-time-dependent effects of doxazosin GITS on the ambulatory blood pressure of hypertensive subjects.
320,Clinical study on treatment of patients with upper digestive tract malignant tumors of middle and late stage with Ginkgo biloba exocarp polysaccharides capsule preparation.,Clinical study on the treatment of patients with upper digestive tract malignant tumors of the middle and late stages with Ginkgo biloba exocarp polysaccharides capsule preparation
321,"A randomised, placebo controlled, comparative trial of the gastrointestinal safety and efficacy of AZD3582 versus naproxen in osteoarthritis.","A randomised, placebo controlled, comparative trial of the gastrointestinal safety and efficacy of AZD3582 versus naproxen in osteoarthritis."
322,Comparison of high resolution whole-body MRI using parallel imaging and PET-CT. First experiences with a 32-channel MRI system.,Comparison of high resolution whole-body MRI using parallel imaging and PET - CT : First experiences with a 32 channel MRI system.
323,Proximal myopathy as an unusual presenting feature of celiac disease.,Proximal myopathy as an unusual presenting feature of celiac disease.
324,Chronic abdominal pain--internistic-psychosomatic aspects.,Chronic abdominal pain - internal - psychosomatic aspects
325,Inflammatory fibroid polyps of the gastrointestinal tract: radiologic evaluation.,Inflammatory fibroid polyps of the gastrointestinal tract: radiologic evaluation.
326,Characteristics of patients with erosive and nonerosive GERD in high-Helicobacter-pylori prevalence region.,Characteristics of patients with erosive and nonerosive GERD in a region with high prevalence of Helicobacter pylori.
327,Effect of anticholinergic drugs on the efficacy of activated charcoal.,Effect of anticholinergic drugs on the efficacy of activated charcoal.
328,The effect of Helicobacter pylori eradication on gastroesophageal reflux disease.,The effect of Helicobacter pylori eradication on gastroesophageal reflux disease.
329,Acute abdominal pain in childhood.,Acute abdominal pain during childhood.
330,Squamous cell carcinoma in situ at oropharyngeal and hypopharyngeal mucosal sites.,Squamous cell carcinoma in situ in oropharyngeal and hypopharyngeal mucosal sites.
331,Safety and efficacy of Isola instrumentation and arthrodesis for adolescent idiopathic scoliosis: two- to 12-year follow-up.,Safety and efficacy of ionation instruments and arthrodesis for adolescent idiopathic scoliosis - follow-up of two years to 12 years
332,Endoscopic ultrasound-guided fine-needle aspiration biopsy of the adrenal glands: analysis of 24 patients.,Endoscopic ultrasound-guided aspiration biopsy of the adrenal glands: analysis of 24 patients.
333,Addition of orlistat to conventional treatment in adolescents with severe obesity.,Addition of orlistat to the conventional treatment of adolescents with severe obesity.
